"filename", "language", "Makefile", "C++", "Markdown", "Python", "comment", "blank", "total"
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/Makefile", "Makefile", 55, 0, 0, 0, 44, 49, 148
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/README.md", "Markdown", 0, 0, 26, 0, 0, 21, 47
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Jacs/JAC_XYZ_uvr.cpp", "C++", 0, 41, 0, 0, 34, 31, 106
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Jacs/JacSystemPredictionV3b.cpp", "C++", 0, 252, 0, 0, 90, 24, 366
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Jacs/JacSystemPredictionV3b.h", "C++", 0, 7, 0, 0, 18, 5, 30
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Jacs/Jac_XYZ_uvr.h", "C++", 0, 10, 0, 0, 6, 12, 28
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Jacs/Jac_uv_XYZ.h", "C++", 0, 10, 0, 0, 6, 13, 29
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Jacs/Jav_uv_XYZ.cpp", "C++", 0, 40, 0, 0, 8, 16, 64
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Euler_to_Ra2b.cpp", "C++", 0, 28, 0, 0, 37, 6, 71
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Euler_to_Ra2b.h", "C++", 0, 6, 0, 0, 18, 5, 29
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Geo2ECEF.cpp", "C++", 0, 21, 0, 0, 4, 14, 39
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Geo2ECEF.h", "C++", 0, 4, 0, 0, 3, 6, 13
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Makefile", "Makefile", 9, 0, 0, 0, 0, 9, 18
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Ra2b_TO_Quat_a2b.cpp", "C++", 0, 11, 0, 0, 24, 6, 41
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/Ra2b_TO_Quat_a2b.h", "C++", 0, 6, 0, 0, 18, 5, 29
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/quat2R.cpp", "C++", 0, 84, 0, 0, 26, 12, 122
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/Transforms/quat2R.h", "C++", 0, 6, 0, 0, 18, 5, 29
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/anms/anms.cpp", "C++", 0, 262, 0, 0, 7, 54, 323
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/anms/anms.h", "C++", 0, 44, 0, 0, 8, 24, 76
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/anms/nanoflann.hpp", "C++", 0, 816, 0, 0, 401, 182, 1399
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/anms/range-tree/lrtypes.h", "C++", 0, 12, 0, 0, 0, 5, 17
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/anms/range-tree/ranget.h", "C++", 0, 485, 0, 0, 62, 166, 713
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/altitude_update.cpp", "C++", 0, 39, 0, 0, 4, 18, 61
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/altitude_update.h", "C++", 0, 7, 0, 0, 4, 9, 20
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/cl_position_update.cpp", "C++", 0, 22, 0, 0, 4, 15, 41
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/cl_position_update.h", "C++", 0, 6, 0, 0, 4, 10, 20
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/ekf.cpp", "C++", 0, 68, 0, 0, 2, 38, 108
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/ekf.h", "C++", 0, 49, 0, 0, 0, 35, 84
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/ekf_types.h", "C++", 0, 40, 0, 0, 3, 10, 53
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/prediction.cpp", "C++", 0, 59, 0, 0, 51, 36, 146
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/prediction.h", "C++", 0, 8, 0, 0, 4, 10, 22
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/system_init.cpp", "C++", 0, 29, 0, 0, 17, 15, 61
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/system_init.h", "C++", 0, 9, 0, 0, 4, 11, 24
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_delete_feats.cpp", "C++", 0, 49, 0, 0, 8, 41, 98
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_delete_feats.h", "C++", 0, 11, 0, 0, 4, 11, 26
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_init_anchors.cpp", "C++", 0, 67, 0, 0, 7, 52, 126
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_init_anchors.h", "C++", 0, 12, 0, 0, 4, 8, 24
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_init_w_range.cpp", "C++", 0, 145, 0, 0, 83, 82, 310
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_init_w_range.h", "C++", 0, 14, 0, 0, 4, 17, 35
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_match_feats.cpp", "C++", 0, 211, 0, 0, 68, 84, 363
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_match_feats.h", "C++", 0, 21, 0, 0, 4, 14, 39
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_update_f.cpp", "C++", 0, 104, 0, 0, 22, 64, 190
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/ekf/visual_update_f.h", "C++", 0, 14, 0, 0, 4, 15, 33
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/getData.cpp", "C++", 0, 141, 0, 0, 17, 41, 199
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/getData.h", "C++", 0, 46, 0, 0, 11, 16, 73
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/locks.h", "C++", 0, 12, 0, 0, 0, 22, 34
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/loop/cost_function_cl.h", "C++", 0, 122, 0, 0, 19, 55, 196
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/loop/loop.cpp", "C++", 0, 377, 0, 0, 169, 155, 701
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/loop/loop.h", "C++", 0, 32, 0, 0, 0, 33, 65
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/main.cpp", "C++", 0, 182, 0, 0, 39, 86, 307
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/Add_KeyFrames.cpp", "C++", 0, 279, 0, 0, 125, 103, 507
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/Add_KeyFrames2.cpp", "C++", 0, 258, 0, 0, 40, 104, 402
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/cost_function.h", "C++", 0, 172, 0, 0, 48, 66, 286
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/delete_ak.cpp", "C++", 0, 85, 0, 0, 3, 34, 122
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/local_bundle_ajustment.cpp", "C++", 0, 194, 0, 0, 50, 65, 309
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/local_bundle_ajustment2.cpp", "C++", 0, 201, 0, 0, 52, 60, 313
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/map.cpp", "C++", 0, 63, 0, 0, 8, 24, 95
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/map.h", "C++", 0, 49, 0, 0, 1, 56, 106
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/map_types.h", "C++", 0, 17, 0, 0, 1, 9, 27
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/map/visual_match.cpp", "C++", 0, 157, 0, 0, 74, 67, 298
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/matplotlib/matplotlibcpp.h", "C++", 0, 1848, 0, 0, 120, 587, 2555
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/matplotlib/numpy_flags.py", "Python", 0, 0, 0, 7, 2, 4, 13
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/parameters.cpp", "C++", 0, 70, 0, 0, 10, 20, 100
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/parameters.h", "C++", 0, 101, 0, 0, 11, 31, 143
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/vision/vision.cpp", "C++", 0, 139, 0, 0, 94, 73, 306
"/home/rodrigo/Dropbox/RESEARCH/RTSLAM/SLAMv1/src/vision/vision.h", "C++", 0, 12, 0, 0, 14, 11, 37
"Total", "-", 64, 7686, 26, 7, 2045, 2987, 12815